Path,Size,Size (bytes),Modified
/media/Downloads/qbittorrent/complete/sonarr/[Asakura] Tensei Shitara Slime Datta Ken 4th Season - 08 [1080p WEB AAC x264] [241F08CD].mkv,1.37 GiB,1465704299,2026-06-02T19:54:56.519844962-07:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 10 (1080p) [7FA8BA37].mkv--9f021fd4/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 10 (1080p) [7FA8BA37].mkv,1.36 GiB,1463873195,2026-06-12T08:12:00.218951252-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 10 (1080p) [7FA8BA37].mkv--5047a43b/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 10 (1080p) [7FA8BA37].mkv,1.36 GiB,1463873195,2026-06-12T08:12:00.218951252-07:00
/media/Downloads/qbittorrent/complete/sonarr/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 10 (1080p) [7FA8BA37].mkv,1.36 GiB,1463873195,2026-06-12T08:12:00.218951252-07:00
/media/Downloads/qbittorrent/complete/cross-seed/AnimeZ/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 11 (1080p) [2B209792].mkv--c0b802de/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 11 (1080p) [2B209792].mkv,1.36 GiB,1463304122,2026-06-19T08:13:00.339342486-07:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 11 (1080p) [2B209792].mkv--0d193d4c/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 11 (1080p) [2B209792].mkv,1.36 GiB,1463304122,2026-06-19T08:13:00.339342486-07:00
/media/Downloads/qbittorrent/complete/sonarr/[SubsPlease] Tensei Shitara Slime Datta Ken S4 - 11 (1080p) [2B209792].mkv,1.36 GiB,1463304122,2026-06-19T08:13:00.339342486-07:00
/media/Downloads/qbittorrent/complete/cross-seed/Blutopia/Emily.in.Paris.S05.1080p.NF.WEB-DL.DDP5.1.H.264-FLUX/Emily.in.Paris.S05E06.The.One.Where.Emily.Goes.to.the.Embassy.1080p.NF.WEB-DL.DDP5.1.H.264-FLUX.mkv,1.36 GiB,1462267846,2025-12-24T06:14:55.494977662-08:00
/media/Downloads/qbittorrent/complete/cross-seed/DarkPeers/Emily.in.Paris.S05.1080p.NF.WEB-DL.DDP5.1.H.264-FLUX/Emily.in.Paris.S05E06.The.One.Where.Emily.Goes.to.the.Embassy.1080p.NF.WEB-DL.DDP5.1.H.264-FLUX.mkv,1.36 GiB,1462267846,2025-12-24T06:14:55.494977662-08:00
/media/Downloads/qbittorrent/complete/cross-seed/TorrentLeech/Emily.in.Paris.S05.1080p.NF.WEB-DL.DDP5.1.H.264-FLUX/Emily.in.Paris.S05E06.The.One.Where.Emily.Goes.to.the.Embassy.1080p.NF.WEB-DL.DDP5.1.H.264-FLUX.mkv,1.36 GiB,1462267846,2025-12-24T06:14:55.494977662-08:00
